Company Name,Ticker,Market Cap (mil),Optionable,Div. Yield %,Next EPS Report Date  (yyyymmdd)
"Cabot","CBT","3704.15","YES","2.42","20231106"
"Community Bank System","CBU","2135.72","YES","4.51","20240123"
"CBIZ","CBZ","2647.1","YES","0","20240215"
"Chemours","CC","3553.61","YES","4.18","20240208"
"CCC Intelligent Solutions","CCCS","6789.06","YES","0","20231106"
"Crown Castle Inc.","CCI","40084.91","YES","6.77","20240124"
"Cameco","CCJ","17810.18","YES",".21","20240208"
"Crown Holdings","CCK","9761.5","YES","1.19","20240206"
"Carnival","CCL","12649.73","YES","0","20231220"
"Cogent Communications","CCOI","3176.54","YES","5.82","20231109"
"Compania Cervecerias Unidas","CCU","2141.27","YES",".74","20231114"
"Chindata","CD","3270.33","YES","0","20231128"
"Ceridian HCM","CDAY","9599.74","YES","0","20240214"
"Cadence Design Systems","CDNS","66622.55","YES","0","20240212"
"COPT DEFENSE PR","CDP","2578.17","YES","4.98","20240208"
"CDW","CDW","26696.97","YES","1.18","20240214"
"Celanese","CE","12295.2","YES","2.48","20231106"
"Constellation Energy Corporation","CEG","36934.8","YES",".98","20231114"
"Consol Energy","CEIX","2990.59","YES","3.37","20240206"
"Celsius","CELH","11935.82","YES","0","20231108"
"Central Garden & Pet","CENT","2333.82","YES","0","20231120"
"Central Garden & Pet","CENTA","2116.43","YES","0","20231120"
"Crestwood Equity Partners","CEQP","2846","YES","9.68","20231101"
"Cerevel Therapeutics","CERE","3992.31","YES","0","20240228"
"CF Industries","CF","15293.03","YES","2.02","20240221"
"Citizens Financial Group","CFG","10943.06","YES","7.25","20240116"
"Confluent","CFLT","8507.12","YES","0","20240129"
"Cullen/Frost Bankers","CFR","5754","YES","4.1","20240125"
"Carlyle Group","CG","9920.28","YES","5.08","20231107"
"Cognex","CGNX","5985.38","YES",".81","20240215"
"Church & Dwight Co.","CHD","22210.66","YES","1.21","20231103"
"Churchill Downs","CHDN","8124.12","YES",".33","20240228"
"Chemed","CHE","8684.13","YES",".28","20240222"
"Choice Hotels International","CHH","5588.89","YES","1.04","20231107"
"Chesapeake Energy","CHK","11391.49","YES","2.65","20240220"
"Check Point Software Technologies","CHKP","16455.03","YES","0","20240212"
"Chord Energy Corporation","CHRD","6867.11","YES","3.02","20240228"
"C.H. Robinson Worldwide","CHRW","9484.5","YES","3","20240207"
"Chunghwa Telecom","CHT","27802.69","YES","3.2","20231102"
"Charter Communications","CHTR","60842.74","YES","0","20240126"
"Chewy","CHWY","8236.52","YES","0","20231206"
"ChampionX","CHX","5898.54","YES","1.12","20240207"
"Cigna Group","CI","91579.21","YES","1.59","20231102"
"Ciena","CIEN","6258.17","YES","0","20231214"
"Colliers International Group","CIGI","4260.22","YES",".32","20231102"
"Cincinnati Financial","CINF","15993.6","YES","2.94","20240205"
"Civitas Resources","CIVI","7007.67","YES","2.68","20231107"
"ColgatePalmolive","CL","61695.29","YES","2.56","20240126"
"ClevelandCliffs","CLF","8461.47","YES","0","20240212"
"Clean Harbors","CLH","7978.58","YES","0","20240306"
"Celestica","CLS","2880.6","YES","0","20240311"
"Clarivate","CLVT","4233.23","YES","0","20231107"
"Clorox","CLX","14307.28","YES","4.16","20240201"
"Canadian Imperial Bank of Commerce","CM","32821.82","YES","7.26","20231207"
"Comerica","CMA","5203.7","YES","7.2","20240118"
"Commercial Metals","CMC","5073.69","YES","1.47","20240108"
"Comcast","CMCSA","172513.05","YES","2.77","20240125"
"CME Group","CME","75878.33","YES","2.09","20240214"
"Chipotle Mexican Grill","CMG","54522.66","YES","0","20240206"
"Cummins","CMI","30886.16","YES","3.08","20231102"
"CMS Energy","CMS","15968.22","YES","3.56","20240201"
"CNA Financial","CNA","11037.97","YES","4.12","20240205"
"Centene","CNC","37030.81","YES","0","20240206"
"CNH Industrial","CNHI","14704.58","YES","0","20231107"
"Canadian National Railway","CNI","69480.13","YES","2.17","20240123"
"Cinemark","CNK","2016.69","YES","0","20231103"
"Core & Main","CNM","7049.07","YES","0","20231212"
"CONMED","CNMD","3035.86","YES",".81","20240201"
"CNO Financial Group","CNO","2605.7","YES","2.6","20231106"
"CenterPoint Energy","CNP","17245.03","YES","2.78","20240216"
"Canadian Natural Resources Limited","CNQ","70375.88","YES","4.12","20231102"
